AGENCY,NAME,ADDRESS,CITY,STATE,ZIPCODE,PHONE,WEBSITE,YOUTH_FACILITIES,BEST_TIMES,ADVANCE_RESERVATION,THIRTY_FIVE,
Army Corps,"Lac Qui Parle Lakes, Minnesota River",9055 1st St W,Watson,Minnesota,56295,(320) 269-6303,http://www.mvp.usace.army.mil/Missions/Recreation/LacquiParle.aspx,Lake,Summer,N,N,
Army Corps,Sardis Lake,MS 315,Sardis,Mississippi,38666,(662) 563-4571,http://www.mvk.usace.army.mil/Missions/Recreation/SardisLake.aspx,Outdoor Classroom,All Year,N,N,
Army Corps,Enid Lake, ,Enid,Mississippi,38927,(662) 712-1163,http://www.mvk.usace.army.mil/Missions/Recreation/EnidLake.aspx,Outdoor Classroom,All Year,N,N,
Army Corps,Grenada Lake,Scenic Loop 333,Grenada,Mississippi,38901,(662) 227-0237,http://www.mvk.usace.army.mil/Missions/Recreation/GrenadaLake.aspx,Outdoor Classroom,All Year,N,N,
Army Corps,Arkabutla Lake,3905 Arkabutla Dam Rd,Coldwater,Mississippi,38618,(662) 301-4571,http://www.mvk.usace.army.mil/Missions/Recreation/ArkabutlaLake.aspx,Outdoor Classroom,All Year,N,N,
Army Corps,Wappapello Lake,10992 Highway T,Wappapello,Missouri,63966,(573) 222-8562,http://www.mvs.usace.army.mil/Missions/Recreation/WappapelloLake.aspx,Fishing Pier and Pond,Summer,N,N,
Army Corps,Clarence Cannon Dam and Mark Twain Lake,20642 Highway J,Monroe City,Missouri,63456,(573) 735-4097,http://www.mvs.usace.army.mil/Missions/Recreation/MarkTwainLake.aspx,"Visitor Center, Outdoor Classroom, Trail",Winter,N,N,
Army Corps,H.S. Truman,15968 Truman Rd,Warsaw,Missouri,65355,(816) 389-3810,http://www.nwk.usace.army.mil/Locations/DistrictLakes/HarrySTrumanLake.aspx,"Visitor Center, Outdoor Classroom","Spring, Summer",N,N,
Army Corps,Table Rock Lake,4600 MO 165,Branson,Missouri,65616,(501) 340-1950,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/TableRockLake.aspx,Visitor Center and Outdoor Classroom,All Year,N,N,
Army Corps,Libby Dam,17877 MT 37,Libby,Montana,59923,(406) 293-7751,http://www.nws.usace.army.mil/Missions/CivilWorks/LocksandDams/LibbyDam.aspx,"Visitor Center, Outdoor Classroom",Summer,N,N,
Army Corps,Conchas, ,Conchas,New Mexico,88416,(575) 868-2221,http://www.spa.usace.army.mil/Missions/CivilWorks/Recreation/ConchasLake.aspx,Outdoor Classroom,Summer,N,N,
Army Corps,Mt. Morris Dam,6103 Visitor Center Rd,Mount Morris,New York,14510,(585) 658-4790,http://www.lrb.usace.army.mil/Missions/Recreation/MountMorrisDam.aspx,"Outdoor Classroom, Visitor Center",Summer,N,N,
Army Corps,W. Kerr Scott Lake,499 Reservoir Rd,Wilkesboro,North Carolina,28697,(336) 921-3390,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/WKerrScott.aspx,"Visitor Center, Environmental Education Center, Outdoor Classroom, Trails, Native Tree Trail",All Year,N,N,
Army Corps,B. Everett Jordan Dam and Lake,2080 Jordan Dam Rd,Moncure,North Carolina,27559,(919) 846-9332,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/BEverettJordan.aspx,"Visitor Center, Outdoor Classroom, Trails, Native Wildflowers, Herpetology Pond",All Year,N,N,
Army Corps,Falls Lake,11405 Falls of Neuse Rd,Wake Forest,North Carolina,27614,(919) 846-9332,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/FallsLake.aspx,"Visitor Center, Outdoor Classroom, Trails, Native Wildflowers, Small Herpetology Pond",All Year,N,N,
Army Corps,Cape Fear Locks & Dams,645 Lock Rd,Elizabethtown,North Carolina,28337,(910) 655-2605,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/CapeFearLocksandDams.aspx,"Small Visitor Area, Outdoor Classroom, Trail, Rain Garden",All Year,N,N,
Army Corps,Lake Ashtabula and Baldhill Dam,2630 114th Ave SE,Valley City,North Dakota,58072,(701) 845-2970,http://www.mvp.usace.army.mil/Missions/Recreation/LakeAshtabulaBaldhillDam.aspx,Outdoor Classroom,Spring,N,N,
Army Corps,"Restrooms, Visitor Center, Group Shelters, Day Use Areas, Discovery Center, Science Lab, Open By Reservation Only","201 1st ST, P.O. Box 527",Riverdale,North Dakota,58565,(701) 654-7411,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/Garrison.aspx,Outdoor Classroom,Summer,N,N,
Army Corps,Caesar Creek Lake,4020 Clarksville Rd,Waynesville,Ohio,45068,(513) 897-1050,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CaesarCreekLake.aspx,"Outdoor Classroom, Visitor Center",Summer,N,N,
Army Corps,Eufaula Lake, ,Stigler,Oklahoma,74462,(918) 669-4903,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/EufaulaLake.aspx,Outdoor Classroom,Summer,N,N,
Army Corps,Texoma Lake,351 Corps Rd,Denison,Texas,75020,(918) 669-4903,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/LakeTexoma.aspx,Outdoor Classroom,All Year,N,N,
Army Corps,Bonneville Lock and Dam,WA 14,North Bonneville,Washington,98639,(541) 374-8820,http://www.nwp.usace.army.mil/Locations/ColumbiaRiver/Bonneville.aspx,"Visitor Center, Outdoor Classroom",All Year,N,N,
Army Corps,Shenango Lake,2442 Kelly Rd,Hermitage,Pennsylvania,16148,(724) 962-7746,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/ShenangoRiverLake.aspx,"Visitor Center, Outdoor Classroom",Summer,N,N,
Army Corps,Raystown Lake,6145 Seven Points Rd,Hesston,Pennsylvania,16647,(814) 658-3405,http://www.nab.usace.army.mil/Missions/DamsRecreation/Raystown.aspx,"Outdoor Classroom, Visitor Center",All Year,N,N,
Army Corps,Richard B. Russell Lake,4144 Russell Dam Dr,Elberton,Georgia,30635,(706) 213-3400,http://www.sas.usace.army.mil/About/DivisionsandOffices/OperationsDivision/RichardBRussellDamandLake.aspx,"Outdoor Classroom, Visitor Center",All Year,N,N,
Army Corps,Oahe Dam,28563 Powerhouse Rd,Pierre,South Dakota,57501,(605) 224-5862,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/Oahe.aspx,Outdoor Classroom,Summer,N,N,
Army Corps,Center Hill Lake,Lancaster Rd,Lancaster,Tennessee,38569,(931) 858-3125,http://www.lrn.usace.army.mil/Locations/Lakes/CenterHillLake.aspx,"Visitor Center, Outdoor Classroom",Summer,N,N,
Army Corps,Canyon Lake, ,Canyon Lake,Texas,78133,(817) 886-1577,http://www.swf-wc.usace.army.mil/canyon/,Outdoor Classroom,All Year,N,N,
Army Corps,Lewisville Lake,1801 N Mill St,Lewisville,Texas,75057,(817) 886-1577,http://www.swf-wc.usace.army.mil/lewisville/,Outdoor Classroom,All Year,N,N,
Army Corps,Waco Lake,3801 Zoo Park Dr,Waco,Texas,76708,(817) 886-1577,http://www.swf-wc.usace.army.mil/waco/,Outdoor Classroom,All Year,N,N,
Army Corps,Ball Mountan Dam,88 Ball Mountain Ln,Jamaica,Vermont,05343,(802) 874-4881,http://www.nae.usace.army.mil/Missions/Recreation/BallMountainLake.aspx,"Outdoor Classroom, Visitor Center",All Year,N,N,
Army Corps,John H. Kerr Dam & Reservoir,1930 Mays Chapel Rd,Boydton,Virginia,23917,(434) 738-6143,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/JohnHKerr.aspx,"Visitor Center, Environmental Education Center, Outdoor Classroom, Trails, Butterfly Garden",All Year,N,N,
Army Corps,Philpott Lake,1058 Philpott Dam Rd,Bassett,Virginia,24055,(276) 629-2703,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/Philpott.aspx,"Visitor Center, Outdoor Classroom, Trails",All Year,N,N,
Army Corps,Lake Washington Ship Canal,3015 NW 54th St,Seattle,Washington,98107,(206) 783-7059,http://www.nws.usace.army.mil/Missions/CivilWorks/LocksandDams/ChittendenLocks.aspx,"Visitor Center, Outdoor Classroom",All Year,N,N,
Army Corps,Summersville Lake, ,Summersville,West Virginia,26651,(304) 872-3412,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/WestVirginia/SummersvilleLake.aspx,Outdoor Classroom and Visitor Center,Summer,N,N,
Army Corps,Eau Galle River Lake,W501 Eau Galle Dam Rd,Spring Valley,Wisconsin,54767,(651) 290-5716,http://www.mvp.usace.army.mil/Missions/Recreation/EauGalleRecreationArea.aspx,Outdoor Classroom,Spring,N,N,
Army Corps,Abiquiu Lake,4731 State Hwy 96,Abiquiu,New Mexico,87510,(505) 685-4371,http://www.spa.usace.army.mil/Missions/Civil-Works/Recreation/Abiquiu-Lake/,"Information Center, Camping, Day Use Areas, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Alabama River Lakes,8493 US Highway 80 West,Hayneville,Alabama,36040,(334) 872-9554,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Alabama-River-Lakes/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Alabama River Lakes - Millers Ferry Site Office/Millers Ferry Lock and Dam,1226 Powerhouse Road,Camden,Alabama,36726,(334) 682-4244,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Alabama-River-Lakes/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Allatoona Lake,1138 GA Highway 20 Spur,Cartersville,Georgia,30121,(678) 721-6700,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Allatoona-Lake/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Aquilla Lake,285 CR 3602,Clifton,Texas,76634,(254) 622-3332,http://www.swf-wc.usace.army.mil/aquilla/,,,N,N,
Army Corps,B. Everett Jordan Dam and Lake,2080 Jordan Dam Road,Moncure,North Carolina,27559,(919) 542-4501,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/BEverettJordan.aspx,"Restrooms, Visitor Center, Amphitheater, Day Use Areas, Other: Trails",All Year,Y,Y,
Army Corps,Ball Mountain Lake,88 Ball Mountain Lane,Jamaica,Vermont,05343,(802) 874-4881,http://www.nae.usace.army.mil/Missions/Recreation/Ball-Mountain-Lake/,"Restrooms, Camping, Playgrounds, Day Use Areas",All Year,Y,Y,
Army Corps,Bardwell,4000 Observation Drive,Ennis,Texas,75119,(972) 875-5711,http://www.swf-wc.usace.army.mil/bardwell/,Day Use Areas,"Fall, Winter",Y,Y,
Army Corps,Barre Falls Dam,200 Coldbrook Road,Barre,Massachusetts,01005,(978) 928-4712,http://www.nae.usace.army.mil/Missions/Recreation/Barre-Falls-Dam/,"Restrooms, Day Use Areas, Disc Golf Course, Group Shelters",All Year,Y,Y,
Army Corps,Barren River Lake (USACE),11088 Finney Rd,Glasgow ,Kentucky,42122,(270) 646-2055,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/Barren-River-Lake/,Restrooms,All Year,N,Y,
Army Corps,Bay Model Vistors Center,2100 Bridgeway Blvd,Sausalito,California,94965,(415) 332-3871,http://www.spn.usace.army.mil/Missions/Recreation/Lake/,"Restrooms, Visitor Center",All Year ,Y,Y,
Army Corps,Beaver Lake,2260 N 2nd Street,Rogers,Arkansas,72756,(479) 636-1210,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/Beaver-Lake/,"Campgrounds, Restrooms/Shower Houses, Group Shelters, Day Use Areas, Swimming Areas, Boat ramps, Hiking Trails.",All Year,Y,Y,
Army Corps,Belton,3740 FM 1670,Belton,Texas,76513,(254) 939-2461,http://www.swf-wc.usace.army.mil/Belton/,"Environmental Education, Restrooms, Group Shelter, Day Use Areas, Camping Facilities, Boat Ramps","Spring, Fall, Winter",Y,Y,
Army Corps,Benbrook,P.O. Box 26619,Fort Worth,Texas,76126,(817) 292-2400,http://www.swf-wc.usace.army.mil/benbrook/,"Restrooms, Day Use Areas","Fall, Winter",Y,Y,
Army Corps,Birch Hill Dam,68 Birch Hill Dam Road,Royalston,Massachusetts,01368,(978) 249-4467,http://www.nae.usace.army.mil/Missions/Recreation/Birch-Hill-Dam/,"Restrooms, Picnicing Area, Interpretive Trail, Day Use Areas",All Year,Y,Y,
Army Corps,Black Butte Lake,19225 Newville Road,Orland,California,95963,(530) 865-4781,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/Black-Butte-Lake/,"Information Center, Camping, Day Use Areas, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Black Warrior and Tombigbee Lakes,101 21st Avenue,Tuscaloosa,Alabama,35401,(205) 752-3571,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Black-Warrior-Tombigbee-BWT-Lakes/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Black Warrior and Tombigbee Lakes - Demopolis Site Office,384 Resource Management Drive,Demopolis,Alabama,36732,(334) 289-3540,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Black-Warrior-Tombigbee-BWT-Lakes/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Black Warrior and Tombigbee Lakes - Holt Resource Office,11911 Holt Lock and Dam Road,Peterson,Alabama,35478,(205) 553-9373,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Black-Warrior-Tombigbee-BWT-Lakes/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Blue Mountain Lake Office,10152 Outlet Park Road,Havana,Arkansas,72842,(479) 947-2372,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/Blue-Mountain-Lake/,"Restrooms, Amphitheater, Group Shelter, Swim Beach, Playground, Picnic Sites, Boat Ramps",All Year,Y,Y,
Army Corps,Bonneville Lock and Dam,"I-84, Exit 40",Cascade Locks,Oregon,97014,(541) 374-8820,http://www.nwp.usace.army.mil/Locations/Columbia-River/Bonneville/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Brookville Lake,10064 Overlook Road,Brookville,Indiana,47012,(765) 647-6701,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/Brookville-Lake/,"Restrooms, Visitor Center, Environmental Education Facility, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Buckhorn Lake ,804 Buckhorn Dam Road ,Buckhorn,Kentucky,41721,(606) 398-7251,http://www.lrl.usace.army.mil/Missions/Civil-Works/,"Restrooms, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Buffumville Lake,48 Old Oxford Road,Charlton,Massachusetts,01507,(508) 248-5697,http://www.nae.usace.army.mil/Missions/Recreation/Buffumville-Lake/,"Restrooms, Disc Golf Course, Interpretive Trail, Beach, Boat Launch, Group Shelters, Group Camping, Day Use Areas",All Year,Y,Y,
Army Corps,C J Brown Dam and Reservior,2630 Croft Rd,Springfield,Ohio,45503,(937) 325-2411,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/CJ-Brown-Dam-Reservoir/,"Restrooms, Visitor Center, Environmental Education Facility, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Caesar Creek Lake,4020 N. Clarksville Rd,Waynesville,Ohio,45068,(513) 897-1050,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/Caesar-Creek-Lake/,"Restrooms, Visitor Center, Environmental Education Facility, Theatre, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Cagles Mill Lake,11979 S. County Rd 375 W,Poland,Indiana,47868,(765) 795-4439,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/Cagles-Mill-Lake/,"Restrooms, Group Shelters, Day Use Areas, Playgrounds, Fishing Areas","Spring, Summer, Fall",Y,N,
Army Corps,Canyon Lake,601 Coe Road,Canyon Lake,Texas,78133,(830) 964-3341,http://www.swf-wc.usace.army.mil/canyon/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas, Camping Facilities, Boat Ramps","Spring, Fall, Winter",Y,Y,
Army Corps,Cape Cod Canal,40 Academy Dr,Buzzards Bay,Massachusetts,02532,(508) 759-4431,http://www.nae.usace.army.mil/Missions/Recreation/Cape-Cod-Canal/,"Restrooms, Visitor Center, Day Use Areas, volleyball court, Group shelter",All Year,Y,Y,
Army Corps,Carr Creek Lake,843 Sassafras Creek Road,Sassafras,Kentucky,41759,(606) 642-3308,http://www.lrl.usace.army.mil/Missions/Civil-Works/,"Restrooms, Visitor Center, Group Shelters","Spring, Summer, Fall",Y,Y,
Army Corps,Carters Lake,1850 Carters Dam Road,Chatsworth,Georgia,30705,(706) 334-2248,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Carters-Lake/,"Restrooms, Visitor Center, Day Use Areas, Group Shelters",All Year,Y,Y,
Army Corps,Cave Run Lake,150 KY Hyw 826,Morehead,Kentucky,40351,(606) 784-9709,http://www.lrl.usace.army.mil/Missions/Civil-Works/,"Restrooms, Group Shelters, Day Use Areas",Fall,Y,N,
Army Corps,Cecil M. Harden Lake,3391 S. Dam Road,Rockville,Indiana,47872,(765) 344-1570,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/Cecil-M-Harden-Lake/,"Restrooms, Group Shelters, Day Use Areas, Playgrounds, Fishing Areas","Spring, Summer, Fall",Y,N,
Army Corps,Center Hill Lake Resource Manager's Office (Center Hill Lake),158 Resource Lane,Lancaster,Tennessee,38569,(931) 858-3126,http://www.lrn.usace.army.mil/Locations/Lakes/Center-Hill-Lake/,"Restrooms, Visitor Center, Day Use Areas, Interpretive Trail, Lake/River Access",All Year,Y,Y,
Army Corps,Cheatham Lake,1798 Cheatham Dam Rd,Ashland City ,Tennessee,37015,(615) 792-5697,http://www.lrn.usace.army.mil/Locations/Lakes/Cheatham-Lake/,"Boat Ramp, Group Shelters, Beach Area, Campground, Day Use Areas, Amphitheater",All Year,N,Y,
Army Corps,Clearwater Lake Project Office,"RR 3, Box 3559-D",Piedmont,Missouri,63957,(573) 223-7777,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/Clearwater-Lake/,"Restrooms, Group Shelters, Day Use Areas",All Year,Y,Y,
Army Corps,Clinton Lake Project Office,872 N. 1402 Rd,Lawrence,Kansas,66049,(785) 843-7665,http://www.nwk.usace.army.mil/Locations/,"Restrooms, Group Shelters, Day Use Areas",All Year,Y,N,
Army Corps,Cochiti Lake,82 Dam Crest Road ,Pena Blanca,New Mexico,87041,(505) 465-0307,http://www.spa.usace.army.mil/Missions/Civil-Works/Recreation/Cochiti-Lake/,"Information Center, Camping, Day Use Areas, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Conchas Lake,287 Bell Ranch Road,Conchas Dam,New Mexico,88416,(575) 868-2221,http://www.spa.usace.army.mil/Missions/Civil-Works/Recreation/Conchas-Lake/,"Day Use Areas, Picnic Shelters, Restrooms, Information Center, Camping",All Year,N,Y,
Army Corps,Cordell Hull Lake,71 Corps Lane ,Carthage,Tennessee,38553,(615) 735-1034,http://www.lrn.usace.army.mil/Locations/Lakes/Cordell-Hull-Lake/,"Restrooms, Visitor Center, Campgrounds, Amphitheater, Boat Launching, Day Use Areas, Swimming Beaches",All Year,Y,Y,
Army Corps,Cottage Grove Lake,75819 Shortridge Hill Road,Cottage Grove,Oregon,97424,(541) 942-5631,http://www.nwp.usace.army.mil/Locations/Willamette-Valley/Cottage-Grove/,"Restrooms, Day Use Areas","Spring, Fall, Winter",Y,Y,
Army Corps,Dale Hollow Lake ,540 Dale Hollow Dam Road ,Celina ,Tennessee,38551,(931) 243-3136,http://www.lrn.usace.army.mil/Locations/Lakes/Dale-Hollow-Lake/,"Visitor Center, Restrooms, Amphitheater, Group Shelters, Day Use Areas, Fish Cleaning Station",All Year,Y,Y,
Army Corps,DeQueen Lake ,706 De Queen Lake Road,DeQueen,Arkansas,71832,(870) 584-4161,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/DeQueen-Lake/,"Restrooms, Group Shelters, Day Use Areas","Spring, Summer",Y,Y,
Army Corps,Dorena Lake,34909 Shoreview Drive,Cottage Grove,Oregon,97424,(541) 942-5631,http://www.nwp.usace.army.mil/Locations/Willamette-Valley/Dorena/,"Restrooms, Day Use Areas","Spring, Fall, Winter",Y,Y,
Army Corps,East Brimfield Lake ,24 Riverview Ave,Fiskdale (Sturbridge),Massachusetts,01518,(508) 347-3705,http://www.nae.usace.army.mil/Missions/Recreation/East-Brimfield-Lake/,"Restrooms, Boat Launch, Canoe Trail, Interpretive Trail, Day Use Areas, Beach",All Year,Y,Y,
Army Corps,Eastman Lake,32175 Road 29,Raymond,California,93653,(559) 689-3255,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/Eastman-Lake/,"Information Center, Camping, Day Use Areas, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Edward MacDowell Lake,75 Wilder Street,Peterborough,New Hampshire,03458,(603) 924-3431,http://www.nae.usace.army.mil/Missions/Recreation/Edward-MacDowell-Lake/,"Boat ramp, Swim Beach, Group Shelters, Restrooms, Day Use Areas",All Year,Y,Y,
