FEDERAL RECREATION AREA/SITE,PHONE,CITY,STATE,WEBSITE,ANNUAL SENIOR,ACCESS MILITARY 4th GRADE
BWT (Demopolis),334-289-3540,Demopolis,AL,http://www.sam.usace.army.mil/Missions/CivilWorks/Recreation/BlackWarriorTombigbee(BWT)Lakes.aspx,YES,YES
BWT (Holt),205-553-9373,Peterson,AL,http://www.sam.usace.army.mil/Missions/CivilWorks/Recreation/BlackWarriorTombigbee(BWT)Lakes.aspx,YES,YES
Conecuh NF,334-222-2555,Andalusia,AL,http://www.fs.fed.us/r8/alabama/,YES,YES
Eufaula NWR,334-687-4065,Eufala,AL,http://www.fws.gov/eufaula,YES,NO
Horseshoe Bend National Military Park,256-234-7111,Daviston,AL,http://www.nps.gov/hobe/,NO,YES
Talladega NF - Oakmulgee Ranger District,205-926-9765,Brent,AL,http://www.fs.fed.us/r8/alabama/,YES,YES
Talladega NF - Shoal Creek Ranger District,256-463-2272,Heflin,AL,http://www.fs.fed.us/r8/alabama/,YES,YES
Talladega NF - Talladega Ranger District,256-362-2909,Talladega,AL,http://www.fs.fed.us/r8/alabama/,YES,YES
Tuskegee NF,334-727-2652,Tuskegee,AL,http://www.fs.fed.us/r8/alabama/,YES,YES
Wheeler NWR,256-350-6639,Decatur,AL,http://www.fws.gov/wheeler/,YES,YES
Arkansas Post National Memorial,870-548-2207,Gillett,AR,http://www.nps.gov/arpo/,NO,YES
Beaver Lake,501-340-1716,Rogers,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/BeaverLake.aspx,YES,YES
Black Fork Mountain Wilderness,479-394-2382,Mena,AR,http://www.fs.fed.us/r8/ouachita/recreation/wilderness/blackfork.shtml,YES,YES
Blue Mountain Lake,501-324-6966,Havana,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/BlueMountainLake.aspx,YES,YES
Buffalo National River - Buffalo Point Ranger Station,870-449-4311,Yellville,AR,http://www.nps.gov/buff/,NO,YES
Buffalo National River - Tyler Bend Visitor's Center,870-439-2502,Marshall,AR,http://www.nps.gov/buff/,NO,YES
Bull Shoals Lake,501-340-1435,Mountain Home,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/BullShoalsLake.aspx,YES,YES
Dardanelle,501-340-1754,Dardanelle,AR,http://www.swl.usace.army.mil/Missions/Recreation/ArkansasRiver/Dardanelle.aspx,YES,YES
Degray Lake,870-246-5501,Arkadelphia,AR,http://www.mvk.usace.army.mil/Missions/Recreation/DeGrayLake.aspx,YES,YES
DeQueen Lake,501-324-5655,DeQueen,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/DeQueenLake.aspx,YES,YES
Dierks Lake,501-324-6609,Dierks,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/DierksLake.aspx,YES,YES
Felsenthal NWR,870-364-3167,Crossett,AR,http://www.fws.gov/saintcatherinecreek/,NO,YES
Fort Smith National Historic Site,479-783-3961,Fort Smith,AR,http://www.nps.gov/fosm/,YES,YES
Gillham Lake,501-324-5655,DeQueen,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/GillhamLake.aspx,YES,YES
Greers Ferry Lake,501-340-1902,Heber Springs,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/GreersFerryLake.aspx,YES,YES
Holla Bend National Wildlife Refuge,479-229-4300,Dardanelle,AR,http://www.fws.gov/HollaBend/,YES,YES
Hot Springs National Park,501-620-6715,Hot Springs,AR,http://www.nps.gov/hosp/,YES,YES
Lake Greeson,870-285-2151,Murfreesboro,AR,http://www.mvk.usace.army.mil/Missions/Recreation/LakeGreeson.aspx,YES,YES
Lake Ouachita,501-767-2101,Royal,AR,http://www.mvk.usace.army.mil/Missions/Recreation/LakeOuachita.aspx,YES,YES
Little Rock Central High School NHS,501-374-1957,Little Rock,AR,http://www.nps.gov/chsc/,YES,YES
Millwood Lake,501-340-1462,Ashdown,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/MillwoodLake.aspx,YES,YES
Nimrod Lake,501-324-6825,Plainview,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/NimrodLake.aspx,YES,YES
Norfork Lakes,501-340-1435,Mountain Home,AR,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/NorforkLake.aspx,YES,YES
Ouachita National Forest - Main Office,501-321-5202,Hot Springs,AR,http://www.fs.fed.us/r8/ouachita/,YES,YES
Ouachita NF - Cold Springs,479-675-3233,Booneville,AR,http://www.fs.fed.us/r8/ouachita,YES,YES
Ouachita NF - Fourche District,501-495-2844,Danville,AR,http://www.fs.fed.us/r8/ouachita,YES,YES
Ouachita NF - Jessieville District,501-984-5313,Jessieville,AR,http://www.fs.fed.us/r8/ouachita,YES,YES
Ouachita NF - Kiamichi District,918-567-2326,Talihana,AR,http://www.fs.fed.us/r8/ouachita,YES,YES
Ouachita NF - Mena District,479-394-2382,Mena,AR,http://www.fs.fed.us/r8/ouachita,YES,YES
Ouachita NF - Oden District,870-326-4322,Oden,AR,http://www.fs.fed.us/r8/ouachita,YES,YES
Ouachita NF - Poteau District,479-637-4174,Waldron,AR,http://www.fs.fed.us/r8/ouachita,YES,YES
Ouachita NF - Winona District,501-889-5176,Perryville,AR,http://www.fs.fed.us/r8/ouachita,YES,YES
Ouachita NF - Womble District,870-867-2101,Mount Ida,AR,http://www.fs.fed.us/r8/ouachita,YES,YES
Ozark - St. Francis NF - Big Piney District,479-284-3150,Hector,AR,http://www.fs.fed.us/oonf/ozark,NO,YES
Ozark - St. Francis NF - Big Piney District,870-446-5122,Jasper,AR,http://www.fs.fed.us/oonf/ozark,NO,YES
Ozark - St. Francis NF - Boston Mountain District,479-667-2191,Ozark,AR,http://www.fs.fed.us/oonf/ozark,NO,YES
Ozark - St. Francis NF - Magazine District,479-963-3076,Paris,AR,http://www.fs.fed.us/oonf/ozark,YES,YES
Ozark - St. Francis NF - Pleasant Hill District,479-754-2864,Clarksville,AR,http://www.fs.fed.us/oonf/ozark,YES,YES
Ozark - St. Francis NF - Sylamore Mountain District,870-269-3228,Mountain View,AR,http://www.fs.fed.us/oonf/ozark,YES,YES
Pea Ridge National Military Park,479-451-8122,Garfield,AR,http://www.nps.gov/peri/,YES,YES
Pine Bluff,501-340-1285,Pine Bluff,AR,http://www.swl.usace.army.mil/Missions/Recreation/ArkansasRiver/PineBluffArea.aspx,YES,YES
Pine Bluff Arkansas Post Field Office,501-340-6084,Tichnor,AR,http://www.swl.usace.army.mil/Missions/Recreation/ArkansasRiver/ArkansasPost.aspx,YES,YES
Russellville ,501-340-1754,Dardanelle,AR,http://www.swl.usace.army.mil/Missions/Recreation/ArkansasRiver/Dardanelle.aspx,YES,YES
St. Francis National Forest,870-295-5278,Marianna,AR,www.fs.fed.us/oonf/ozark/,YES,YES
Ozark - St. Francis NF - Main Ofiice,479-964-7200,Russellville,AR ,http://aokforests.com,YES,YES
Apache-Sitgreaves NF - Alpine District,928-339-5000,Alpine,AZ,http://www.fs.fed.us/r3/asnf/contact/,YES,YES
Apache-Sitgreaves NF - Black Mesa District,928-535-7300,Overgaard,AZ,http://www.fs.fed.us/r3/asnf/contact/,YES,YES
Apache-Sitgreaves NF - Lakeside District,928-368-2100,Lakeside,AZ,http://www.fs.fed.us/r3/asnf/contact/,YES,YES
Apache-Sitgreaves NF - Springerville District,928-333-4273,Springerville,AZ,http://www.fs.fed.us/r3/asnf/contact/,YES,YES
Apache-Sitgreaves NF - Supervisor's Office,928-333-4301,Springerville,AZ,http://www.fs.fed.us/r3/asnf/contact/,YES,YES
Aqua Fria National Monument,623-580-5500,Phoenix,AZ,http://www.blm.gov/az/st/en/prog/blm_special_areas/natmon/afria.html,YES,YES
Arizona BLM State Office,602-417-9200,Phoenix,AZ,http://www.blm.gov/az/st/en.html,YES,YES
Casa Grande Ruins National Monument,520-723-3172,Coolidge,AZ,http://www.nps.gov/cagr/,YES,YES
Coconino NF - Main Office,928-527-3600,Flagstaff,AZ,http://www.fs.fed.us/r3/coconino/contact/index.shtml,YES,YES
Coconino NF - Mogollon Rim District,928-477-2255,Happy Jack,AZ,http://www.fs.fed.us/r3/coconino/contact/index.shtml,YES,YES
Coconino NF - Peaks & Mormon Lake District,928-526-0866,Flagstaff,AZ,http://www.fs.fed.us/r3/coconino/contact/index.shtml,YES,YES
Coconino NF - Red Rock District,928-203-7500,Sedona,AZ,http://www.fs.fed.us/r3/coconino/contact/index.shtml,YES,YES
Coconino NF - Red Rock Visitor's Center,928-203-2900,Sedona,AZ,http://www.fs.fed.us/r3/coconino/contact/index.shtml,YES,YES
Coronado NF - Douglas District,520-364-3468,Douglas,AZ,http://www.fs.fed.us/r3/coronado/forest/contact/contact.shtml,YES,YES
Coronado NF - Main Office,520-388-8300,Tucson,AZ,http://www.fs.fed.us/r3/coronado/forest/contact/contact.shtml,YES,YES
Coronado NF - Nogales District,520 281-2296,Nogales,AZ,http://www.fs.fed.us/r3/coronado/forest/contact/contact.shtml,YES,YES
Coronado NF - Safford District,928-428-4150,Safford,AZ,http://www.fs.fed.us/r3/coronado/forest/contact/contact.shtml,YES,YES
Coronado NF - Santa Catalina District,520-749-8700,Tucson,AZ,http://www.fs.fed.us/r3/coronado/forest/contact/contact.shtml,YES,YES
Coronado NF - Sierra Vista District,520-378-0311,Hereford,AZ,http://www.fs.fed.us/r3/coronado/forest/contact/contact.shtml,YES,YES
Explore Arizona Outdoor Information Center,602-417-9300,Phoenix,AZ,http://www.explorearizona.org,YES,YES
Gila District Office (BLM),520-439-6400,Sierra Vista,AZ,http://www.blm.gov/az/st/en/info/arizona_offices.html,YES,YES
Glen Canyon NRA,928-608-6200,Page,AZ,http://www.nps.gov/glca/,YES,YES
Glen Canyon NRA (both AZ and UT),928-608-6200,Page,AZ,http://www.nps.gov/glca/,YES,YES
Grand Canyon National Park,928-638-7888,Grand Canyon,AZ,http://www.nps.gov/grca/,YES,YES
Hassayampa BLM Field Office,623-580-5500,Phoenix,AZ,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,YES,YES
Imperial NWR,928-783-3371,Yuma,AZ,http://www.fws.gov/southwest/refuges/arizona/imperial.html,YES,YES
Kaibab NF - Main Office,928 - 635-8200,Williams,AZ,http://www.fs.fed.us/r3/kai/contact/,YES,YES
Kaibab NF - North Kaibab District,928-643-7395,Fredonia,AZ,http://www.fs.fed.us/r3/kai/contact/,YES,YES
Kaibab NF - Tusayan District,928-638-2443,Grand Canyon,AZ,http://www.fs.fed.us/r3/kai/contact/,YES,YES
Kaibab NF - Williams District,928-635-5600,Williams,AZ,http://www.fs.fed.us/r3/kai/contact/,YES,YES
Kingman BLM Field Office,928-718-3700,Kingman,AZ,http://www.blm.gov/az/st/en/fo/kingman_field_office.html,YES,YES
Lake Havasu BLM Field Office,928-505-1200,Lake Havasu City,AZ,http://www.blm.gov/az/st/en/fo/lake_havasu_field.html,YES,YES
Las Cienegas National Conservation Area,520-258-7204,Tucson,AZ,http://www.blm.gov/az/st/en/prog/blm_special_areas/ncarea/lascienegas.html,YES,YES
Montezuma Castle National Monument,928-567-3322,Camp Verde,AZ,http://www.nps.gov/moca/,YES,YES
Organ Pipe Cactus National Monument,520-387-6849,Ajo,AZ,http://www.nps.gov/orpi/,YES,YES
Petrified Forest National Park,928-524-6228,Holbrook,AZ,http://www.nps.gov/pefo/,YES,YES
Phoenix District Office (BLM),623-580-5500,Phoenix,AZ,http://www.blm.gov/az/st/en/info/arizona_offices.html,YES,YES
Pipe Spring National Monument,928-643-7105,Fredonia,AZ,http://www.nps.gov/pisp/,YES,YES
Prescott NF - Bradshaw District,928-443-8000,Prescott,AZ,http://www.fs.fed.us/r3/prescott/contact/index.shtml,YES,YES
Prescott NF - Chino District,928-777-2200,Chino Valley,AZ,http://www.fs.fed.us/r3/prescott/contact/index.shtml,YES,YES
Prescott NF - Verde District,928-567-4121,Camp Verde,AZ,http://www.fs.fed.us/r3/prescott/contact/index.shtml,YES,YES
"Rainbow Bridge National Monument (see Glen Canyon, UT)",928-608-6200,Page,AZ,http://www.nps.gov/rabr,YES,YES
Safford BLM Field Office,928-348-4400,Safford,AZ,http://www.blm.gov/az/st/en/fo/safford_field_office.html,YES,YES
Saguaro National Park,520-733-5100,Tucson,AZ,http://www.nps.gov/sagu/,YES,YES
San Pedro Riparian National Conservation Area,520-439-6400,Sierra Vista,AZ,http://www.blm.gov/az/st/en/prog/blm_special_areas/ncarea/sprnca.html,YES,YES
Southern Arizona Group,602-794-3820,Phoenix,AZ,http://www.nps.gov/orgs/1758/index.htm,YES,YES
Sunset Crater Volcano National Monument,928-526-0502,Flagstaff,AZ,http://www.nps.gov/sucr/,YES,YES
Tonto National Monument,928-467-2241,Roosevelt,AZ,http://www.nps.gov/tont/,YES,YES
Tonto NF - Cave Creek District,480-595-3300,Scottsdale,AZ,http://www.fs.fed.us/r3/tonto/contact/districts.shtml,YES,YES
Tonto NF - Globe District,928-402-6200,Globe,AZ,http://www.fs.fed.us/r3/tonto/contact/districts.shtml,YES,YES
Tonto NF - Main Office,602-225-5200,Phoenix,AZ,http://www.fs.fed.us/r3/tonto/contact/districts.shtml,YES,YES
Tonto NF - Mesa District,480-610-3300,Mesa,AZ,http://www.fs.fed.us/r3/tonto/contact/districts.shtml,YES,YES
Tonto NF - Payson District,928-474-7900,Payson,AZ,http://www.fs.fed.us/r3/tonto/contact/districts.shtml,YES,YES
Tonto NF - Pleasant Valley District,928-462-4300,Young,AZ,http://www.fs.fed.us/r3/tonto/contact/districts.shtml,YES,YES
Tonto NF - Tonto Basin District,928-467-3200,Roosevelt,AZ,http://www.fs.fed.us/r3/tonto/contact/districts.shtml,YES,YES
Tucson BLM Field Office,520-258-7200,Tucson,AZ,http://www.blm.gov/az/st/en/fo/tucson_field_office.html,YES,YES
Tumacacori National Historical Park,520-377-5060,Tumacacori,AZ,http://www.nps.gov/tuma/,YES,YES
Tuzigoot National Monument ,928-634-5564,Clarkdale,AZ,http://www.nps.gov/tuzi/,YES,YES
Walnut Canyon National Monument,928-526-3367,Flagstaff,AZ,http://www.nps.gov/waca/,YES,YES
Wupatki National Monument,928-679-2365,Flagstaff,AZ,http://www.nps.gov/wupa/,YES,YES
Yuma BLM Field Office,928-317-3200,Yuma,AZ,http://www.blm.gov/az/st/en/fo/yuma_field_office.html,YES,YES
Alcatraz Island (see Golden Gate NRA),415-561-4921,San Francisco (Alcatraz Island),CA,http://www.nps.gov/alcatraz/,YES,YES
Alturas BLM Field Office,530-233-4666,Alturas,CA,http://www.blm.gov/ca/st/en/fo/alturas.html,YES,YES
Angeles NF - Big Pines Info Center,760-249-3504,Wrightwood,CA,http://www.fs.fed.us/r5/angeles/contact/,YES,YES
Angeles NF - LA River District,818-899-1900,San Fernando,CA,http://www.fs.fed.us/r5/angeles/contact/,YES,YES
Angeles NF - Main Office,626-574-5200,Arcadia,CA,http://www.fs.fed.us/r5/angeles/contact/,YES,YES
Angeles NF - Mojave & Santa Clara River District,661-269-2808,Acton,CA,http://www.fs.fed.us/r5/angeles/contact/,YES,YES
Angeles NF - San Gabriel River District,626-335-1251,Glendora,CA,http://www.fs.fed.us/r5/angeles/contact/,YES,YES
Bay Model Visitor Center,415-289-3009,Sausalito,CA,http://www.spn.usace.army.mil/Missions/Recreation/BayModelVisitorCenter.aspx,YES,YES
Black Butte Lake,530-865-4781,Orland,CA,http://www.spk.usace.army.mil/Locations/SacramentoDistrictParks/BlackButteLake.aspx,YES,YES
Cabrillo National Monument,619-557-5450,San Diego,CA,http://www.nps.gov/cabr/,YES,YES
California BLM Office,916-978-4400,Sacramento,CA,http://www.blm.gov/ca/st/en.html,YES,YES
Cleveland NF - Descanso District,619-445-6235,Alpine,CA,http://www.fs.fed.us/r5/cleveland/contact/,YES,YES
Cleveland NF - Main Office,858-673-6180,San Diego,CA,http://www.fs.fed.us/r5/cleveland/contact/,YES,YES
Cleveland NF - Palomar District,760-788-0250,Ramona,CA,http://www.fs.fed.us/r5/cleveland/contact/,YES,YES
Cleveland NF - Trabuco District,951-736-1811,Corona,CA,http://www.fs.fed.us/r5/cleveland/contact/,YES,YES
Death Valley National Park,760-786-3200,Death Valley,CA,http://www.nps.gov/deva/,YES,YES
Don Edwards San Francisco Bay NWR,510-792-0222 ext 363,Fremont,CA,http://fws.gov/desfbay/,NO,YES
Eagle Lake BLM Field Office,530-257-0456,Susanville,CA,http://www.blm.gov/ca/st/en/fo/eaglelake.html,YES,YES
Eastman Lake,559-689-3255,Raymond,CA,http://www.spk.usace.army.mil/Locations/SacramentoDistrictParks/EastmanLake.aspx,YES,YES
Eldorado NF - Amador District,209-295-4251,Pioneer,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES
Eldorado NF - Georgetown District,530-333-4312,Georgetown,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES
Eldorado NF - Main Office,530-622-5061,Placerville,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES
Eldorado NF - Pacific District,530-644-2349,Pollock Pines,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES
Eldorado NF - Placerville District,530-644-2324,Camino,CA,http://www.fs.fed.us/r5/eldorado/contact/address/,YES,YES
Englebright Lake,530-432-6427,Smartsville,CA,http://www.spk.usace.army.mil/Locations/SacramentoDistrictParks/EnglebrightLake.aspx,YES,YES
Golden Gate NRA - Alcatraz Visitors Center,415-561-4921,San Francisco (Alcatraz Island),CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES
Golden Gate NRA - Fort Point Bookstore,415-673-5642,San Francisco,CA,http://www.nps.gov/fopo/index.htm,YES,YES
Golden Gate NRA - Marin Headlands,415-331-1540,Sausalito,CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES
Golden Gate NRA - Muir Woods Visitors Ctr,415-388-7368,Mill Valley,CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES
Golden Gate NRA - Presidio Visitors Center,415-561-4323,San Francisco,CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES
Golden Gate NRA - Warming Hut Visitors Ctr,415-561-3040,San Francisco,CA,http://www.nps.gov/goga/planyourvisit/hours.htm,YES,YES
Hensley Lake,559-673-5151,Raymond,CA,http://www.spk.usace.army.mil/Locations/SacramentoDistrictParks/HensleyLake.aspx,YES,YES
Hollister BLM Field Office,831-630-5000,Hollister,CA,http://www.blm.gov/ca/st/en/fo/hollister.html,YES,YES
Inyo NF - Ancient Bristlecone Pine Visitor Center,760-873-2500,Big Pine,CA,http://www.fs.fed.us/r5/inyo/,YES,YES
Inyo NF - Interagency Visitor Center,760-876-6222,Lone Pine,CA,http://www.fs.fed.us/r5/inyo/,YES,YES
Inyo NF - Mammoth Lakes Center,760-924-5500,Mammoth Lakes,CA,http://www.fs.fed.us/r5/inyo/,YES,YES
Inyo NF - Mono Basin Visitor Center,760-647-3044,Lee Vining,CA,http://www.fs.fed.us/r5/inyo/,YES,YES
Inyo NF - White Mountain Ranger Station,760-873-2500,Bishop,CA,http://www.fs.fed.us/r5/inyo/,YES,YES
Joshua Tree National Park ,760-367-5522,Twentynine Palms,CA,http://www.nps.gov/jotr/,YES,YES
King Range National Conservation Area,707-986-5400,Whitethorn,CA,http://www.blm.gov/ca/st/en/fo/arcata/kingrange/index.html,YES,YES
Klamath NF - Goosenest District,530-398-4391,Macdoel,CA,http://www.fs.fed.us/r5/klamath/contact/,NO,YES
Klamath NF - Happy Camp & Oak Knoll Districts,530-493-2243,Happy Camp,CA,http://www.fs.fed.us/r5/klamath/contact/,NO,YES
Klamath NF - Main Office,530-842-6131,Yreka,CA,http://www.fs.fed.us/r5/klamath/contact/,YES,YES
Klamath NF - Scott River & Salmon River Districts,530-468-5351,Fort Jones,CA,http://www.fs.fed.us/r5/klamath/contact/,NO,YES
Lake Kaweah,559-597-2301,Lemon Cove,CA,http://www.spk.usace.army.mil/Locations/SacramentoDistrictParks/LakeKaweah.aspx,YES,YES
Lake Sonoma,707-431-4554,Geyserville,CA,http://www.spn.usace.army.mil/Missions/Recreation/LakeSonoma.aspx,YES,YES
Lake Tahoe Basin Management Unit - Main Office,530-543-2694,South Lake Tahoe,CA,http://www.fs.fed.us/r5/ltbmu/contact/,YES,YES
Lake Tahoe Basin Management Unit - North Shore Office,530-583-3593,Dollar Point,CA,http://www.fs.fed.us/r5/ltbmu/contact/,YES,YES
Lake Tahoe Basin Management Unit - Taylor Creek Visitors Center,530-543-2674,South Lake Tahoe,CA,http://www.fs.fed.us/r5/ltbmu/contact/,YES,YES
Lassen NF - Almanor District,530-258-2141,Chester,CA,http://www.fs.fed.us/r5/lassen/contact/,YES,YES
Lassen NF - Eagle Lake District,530-257-4188,Susanville,CA,http://www.fs.fed.us/r5/lassen/contact/,YES,YES
Lassen NF - Hat Creek District,530-336-5521,Fall River Mills,CA,http://www.fs.fed.us/r5/lassen/contact/,YES,YES
Lassen NF - Main Office,530-257-2151,Susanville,CA,http://www.fs.fed.us/r5/lassen/contact/,YES,YES
Lassen Volcanic National Park,530-595-4444,Mineral,CA,http://www.nps.gov/lavo/,YES,YES
Lava Beds National Monument,530-667-8113,Tulelake,CA,http://www.nps.gov/labe/,YES,YES
Los Padres NF - Main Office,805-968-6640,Goleta,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES
Los Padres NF - Monterey District,831-385-5434,King City,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES
Los Padres NF - Mt Pinos District,661-245-3731,Frazier Park,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES
Los Padres NF - Ojai District,805-646-4348,Ojai,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES
Los Padres NF - Santa Barbara District,805-967-3481,Santa Barbara,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES
Los Padres NF - Santa Lucia District,805-925-9538,Santa Maria,CA,http://www.fs.fed.us/r5/lospadres/contact/,YES,YES
Mendocino NF - Covelo District,707-983-6118,Covelo,CA,http://www.fs.fed.us/r5/mendocino/contactus/maps/,YES,YES
Mendocino NF - Grindstone District,530-934-3316,Stonyford,CA,http://www.fs.fed.us/r5/mendocino/contactus/maps/,YES,YES
Mendocino NF - Main Office,530-934-3316,Willows,CA,http://www.fs.fed.us/r5/mendocino/contactus/maps/,YES,YES
Mendocino NF - Upper Lake District,707-275-2361,Upper Lake,CA,http://www.fs.fed.us/r5/mendocino/contactus/maps/,YES,YES
Modoc NF - Big Valley District,530-299-3215,Adin,CA,http://www.fs.fed.us/r5/modoc/contact/index.shtml,YES,YES
Modoc NF - Doublehead District,530-667-2246,Tulelake,CA,http://www.fs.fed.us/r5/modoc/contact/index.shtml,YES,YES
Modoc NF - Main Office,530-233-5811,Alturas,CA,http://www.fs.fed.us/r5/modoc/contact/index.shtml,YES,YES
Modoc NF - Warner Mountain District,530-279-6116,Cedarville,CA,http://www.fs.fed.us/r5/modoc/contact/index.shtml,YES,YES
Mojave National Preserve,760-252-6108,Kelso,CA,http://www.nps.gov/moja/index.htm,YES,YES
"Muir Woods National Monument (see also Golden Gate NRA, CA)",415-388-7368,Mill Valley,CA,http://www.nps.gov/muwo,YES,YES
Needles BLM Field Office,760-326-7000,Needles,CA,http://www.blm.gov/ca/st/en/fo/needles.html,YES,YES
New Hogan Lake,209-772-1343,Valley Springs,CA,http://www.spk.usace.army.mil/Locations/SacramentoDistrictParks/NewHoganLake.aspx,YES,YES
New Melones Lake - Reclamation Central California Area Office,209-536-9094,Sonora,CA,http://www.usbr.gov/mp/ccao/newmelones/index.html †,YES,YES
Palm Springs - South Coast BLM Field Office,760-833-7100,Palm Springs,CA,http://www.blm.gov/ca/st/en/fo/palmsprings.html,YES,YES
Pine Flat Lake,559-787-2589,Piedra,CA,http://www.spk.usace.army.mil/Locations/SacramentoDistrictParks/PineFlatLake.aspx,YES,YES
Pinnacles National Monument,831-389-4485,Hollister,CA,http://www.nps.gov/pinn/,YES,YES
Plumas NF - Beckwourth District,530-836-2575,Blairsden,CA,http://www.fs.fed.us/r5/plumas/contact/,YES,YES
Plumas NF - Feather River District,530-534-6500,Oroville,CA,http://www.fs.fed.us/r5/plumas/contact/,YES,YES
Plumas NF - Main Office,530-283-2050,Quincy,CA,http://www.fs.fed.us/r5/plumas/contact/,YES,YES
Plumas NF - Mt. Hough District,530-283-0555,Quincy,CA,http://www.fs.fed.us/r5/plumas/contact/,YES,YES
Point Reyes National Seashore,415-464-5100,Point Reyes Station,CA,http://www.nps.gov/pore,YES,YES
Redding BLM Field Office,530-224-2100,Redding,CA,http://www.blm.gov/ca/st/en/fo/redding.html,YES,YES
Sacramento NWR,530-934-2801,Willows,CA,http://www.fws.gov/sacramentovalleyrefuges/sac.htm,YES,YES
San Bernardino NF - Front Country District - Cajon Ranger Station,909-382-2850,Lytle Creek,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES
San Bernardino NF - Front Country District - San Gorgonio Ranger Station,909-382-2881,Mentone,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES
San Bernardino NF - Main Office,909-382-2600,San Bernardino,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES
San Bernardino NF - Mountaintop District - Arrowhead Ranger Station,909-382-2782,Skyforest,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES
San Bernardino NF - Mountaintop District - Big Bear Ranger Station,909-382-2790,Fawnskin,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES
San Bernardino NF - San Jacinto District,909-382-2921,Idyllwild,CA,http://www.fs.fed.us/r5/sanbernardino/contact/index.shtml,YES,YES
San Francisco Maritime National Historical Park,415-561-7000,San Francisco,CA,http://www.nps.gov/safr/,YES,YES
San Luis NWR,209-826-3508,Los Banos,CA,http://www.fws.gov/refuge/san_luis/,NO,YES
